AIN,PropertyUseCode,GeneralUseType,SpecificUseType,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HouseNo,StreetName,City,ZIPcode5,CENTER_LAT,CENTER_LON
2074004011,100,Residential,Single Family Residence,1962,1962,2101,3,2,20100920,"$36,725.00",1975,"$102,308.00",1975,"$139,033.00",22924,CRESPI ST,LOS ANGELES CA,91364,34.16211255,-118.625992
2074004013,100,Residential,Single Family Residence,1958,1958,1529,3,2,20090513,"$371,373.00",2009,"$311,012.00",2009,"$682,385.00",22940,CRESPI ST,LOS ANGELES CA,91364,34.16168288,-118.6265162
2074004020,100,Residential,Single Family Residence,1955,1955,1449,2,2,20120927,"$254,573.00",2002,"$222,751.00",2002,"$477,324.00",5017,RIGOLETTO ST,LOS ANGELES CA,91364,34.16187017,-118.6252948
2074004021,100,Residential,Single Family Residence,1955,1955,1449,2,2,20080327,"$137,121.00",1992,"$198,067.00",1992,"$335,188.00",5011,RIGOLETTO ST,LOS ANGELES CA,91364,34.16174246,-118.6253555
2074004022,100,Residential,Single Family Residence,1954,1979,1857,4,2,20121106,"$322,296.00",2012,"$235,065.00",2012,"$557,361.00",5007,RIGOLETTO ST,LOS ANGELES CA,91364,34.16161546,-118.6254204
2074004024,100,Residential,Single Family Residence,1957,1959,1923,3,2,20120323,"$330,305.00",2012,"$210,714.00",2012,"$541,019.00",4976,DUNMAN AVE,LOS ANGELES CA,91364,34.16156496,-118.6277676
2074004025,100,Residential,Single Family Residence,1957,1957,1964,3,2,20140826,"$480,497.00",2015,"$120,124.00",2015,"$600,621.00",4984,DUNMAN AVE,LOS ANGELES CA,91364,34.1617452,-118.6278486
2074004027,100,Residential,Single Family Residence,1957,1957,1964,4,2,20101108,"$349,289.00",2003,"$94,962.00",2003,"$444,251.00",5008,DUNMAN AVE,LOS ANGELES CA,91364,34.16210664,-118.6280077
2074004029,100,Residential,Single Family Residence,1961,1961,1800,2,2,20130315,"$181,445.00",1997,"$194,635.00",1997,"$376,080.00",22936,CRESPI ST,LOS ANGELES CA,91364,34.16167603,-118.6263158
2074004030,100,Residential,Single Family Residence,1962,1962,1892,4,2,20150824,"$371,812.00",2010,"$334,442.00",2010,"$706,254.00",22930,CRESPI ST,LOS ANGELES CA,91364,34.16205933,-118.6262615
